agency,county,item,quantity,cost,date
FEDERAL AIR MARSHAL SERVICE - TSA,ATLANTIC,MAST,1,"$8,463.96",8/26/08
GALLOWAY TOWNSHIP POLICE DEPARTMENT,ATLANTIC,"CARRIER,INTRENCHING TOOL",35,$19.32,7/25/13
GALLOWAY TOWNSHIP POLICE DEPARTMENT,ATLANTIC,"FACESHIELD,RIOT CONTROL",50,$49.30,7/25/13
GALLOWAY TOWNSHIP POLICE DEPARTMENT,ATLANTIC,FIELD PACK,6,$550.47,7/25/13
GALLOWAY TOWNSHIP POLICE DEPARTMENT,ATLANTIC,FIGHTING LOAD CARRIER,35,$43.75,7/25/13
GALLOWAY TOWNSHIP POLICE DEPARTMENT,ATLANTIC,FIGHTING LOAD CARRIER,5,$43.75,7/25/13
GALLOWAY TOWNSHIP POLICE DEPARTMENT,ATLANTIC,"INTRENCHING TOOL,HAND",19,$0.00,7/25/13
GALLOWAY TOWNSHIP POLICE DEPARTMENT,ATLANTIC,"PACK,ASSAULT,MOLLE",2,$60.26,7/25/13
GALLOWAY TOWNSHIP POLICE DEPARTMENT,ATLANTIC,"POUCH,FLASH BANG GRENADE",40,$5.28,7/25/13
GALLOWAY TOWNSHIP POLICE DEPARTMENT,ATLANTIC,"POUCH,M4 THREE MAG",40,$18.51,7/25/13
GALLOWAY TOWNSHIP POLICE DEPARTMENT,ATLANTIC,"POUCH,M4 THREE MAG",40,$18.51,7/25/13
GALLOWAY TOWNSHIP POLICE DEPARTMENT,ATLANTIC,"RUCKSACK,FIELD PACK",1,$82.64,7/25/13
GALLOWAY TOWNSHIP POLICE DEPARTMENT,ATLANTIC,"SPECTACLES KIT,BALLISTIC AND LASER PROTECTIVE",25,$15.67,7/25/13
GALLOWAY TOWNSHIP POLICE DEPARTMENT,ATLANTIC,"STUFF SACK,COMPRESS",20,$16.31,7/25/13
GALLOWAY TOWNSHIP POLICE DEPARTMENT,ATLANTIC,SUSTAINMENT POUCH,40,$15.58,7/25/13
GALLOWAY TOWNSHIP POLICE DEPARTMENT,ATLANTIC,"WRENCH SET,SOCKET",1,$136.49,7/25/13
GALLOWAY TOWNSHIP POLICE DEPARTMENT,ATLANTIC,"BLADDER,HYDRATION SYSTEM",16,$15.90,9/6/13
GALLOWAY TOWNSHIP POLICE DEPARTMENT,ATLANTIC,"DRILL, POWER",2,$0.00,9/6/13
GALLOWAY TOWNSHIP POLICE DEPARTMENT,ATLANTIC,FIELD PACK,20,$229.67,9/6/13
GALLOWAY TOWNSHIP POLICE DEPARTMENT,ATLANTIC,"INTRENCHING TOOL,HAND",20,$91.98,9/6/13
GALLOWAY TOWNSHIP POLICE DEPARTMENT,ATLANTIC,KNEE AND ELBOW PAD SYSTEM,51,$31.85,9/6/13
GALLOWAY TOWNSHIP POLICE DEPARTMENT,ATLANTIC,"POUCH,CANTEEN,GENER",80,$11.15,9/6/13
GALLOWAY TOWNSHIP POLICE DEPARTMENT,ATLANTIC,"PUMP,HYDRAULIC RAM,HAND DRIVEN",1,$509.18,9/6/13
GALLOWAY TOWNSHIP POLICE DEPARTMENT,ATLANTIC,"RESCUE AND TRANSPORT SYSTEM,PATIENT",1,$615.03,9/6/13
GALLOWAY TOWNSHIP POLICE DEPARTMENT,ATLANTIC,SLEEPING BAG,20,$47.47,9/6/13
GALLOWAY TOWNSHIP POLICE DEPARTMENT,ATLANTIC,TRUMPET,1,$0.00,9/6/13
GALLOWAY TOWNSHIP POLICE DEPARTMENT,ATLANTIC,"WRENCH,TORQUE",1,$114.34,9/6/13
LINWOOD POLICE DEPARTMENT,ATLANTIC,"SUIT,CHEMICAL PROTE",25,$100.67,11/17/94
LINWOOD POLICE DEPARTMENT,ATLANTIC,TYPEWRITER,5,$214.00,11/17/94
LINWOOD POLICE DEPARTMENT,ATLANTIC,"TELESCOPE,STRAIGHT ",1,$442.00,3/23/95
MARGATE CITY POLICE DEPARTMENT,ATLANTIC,"TRAILER CARGO, 1/4 TON",1,$400.00,4/25/00
PLEASANTVILLE POLICE DEPARTMENT,ATLANTIC,BINOCULAR          ,2,$960.00,1/25/95
PLEASANTVILLE POLICE DEPARTMENT,ATLANTIC,BDU,205,$16.00,5/31/95
PLEASANTVILLE POLICE DEPARTMENT,ATLANTIC,GAS CAN,4,$55.00,10/31/95
PLEASANTVILLE POLICE DEPARTMENT,ATLANTIC,GENERATOR,1,$700.00,10/31/95
PLEASANTVILLE POLICE DEPARTMENT,ATLANTIC,JACKET,20,$121.95,4/5/96
,ATLANTIC,"TRUCK,ARMORED",1,"$65,070.00",10/13/94
,ATLANTIC,"RIFLE,5.56 MILLIMETER",1,$499.00,3/14/06
,ATLANTIC,"RIFLE,5.56 MILLIMETER",1,$499.00,3/14/06
,ATLANTIC,"RIFLE,5.56 MILLIMETER",1,$499.00,3/14/06
,ATLANTIC,"RIFLE,5.56 MILLIMETER",1,$499.00,3/14/06
,ATLANTIC,"RIFLE,5.56 MILLIMETER",1,$499.00,3/14/06
,ATLANTIC,"RIFLE,5.56 MILLIMETER",1,$499.00,3/14/06
,ATLANTIC,"RIFLE,5.56 MILLIMETER",1,$499.00,3/14/06
,ATLANTIC,"RIFLE,5.56 MILLIMETER",1,$499.00,3/14/06
,ATLANTIC,"RIFLE,5.56 MILLIMETER",1,$499.00,3/14/06
,ATLANTIC,"RIFLE,5.56 MILLIMETER",1,$499.00,3/14/06
,ATLANTIC,"RIFLE,5.56 MILLIMETER",1,$499.00,3/14/06
,ATLANTIC,"RIFLE,5.56 MILLIMETER",1,$499.00,3/14/06
,ATLANTIC,"RIFLE,5.56 MILLIMETER",1,$499.00,3/14/06
,ATLANTIC,"RIFLE,7.62 MILLIMETER",1,$138.00,6/16/06
,ATLANTIC,"RIFLE,7.62 MILLIMETER",1,$138.00,6/16/06
,ATLANTIC,"RIFLE,7.62 MILLIMETER",1,$138.00,6/16/06
,ATLANTIC,"RIFLE,7.62 MILLIMETER",1,$138.00,6/16/06
,ATLANTIC,"RIFLE,7.62 MILLIMETER",1,$138.00,6/16/06
,ATLANTIC,"RIFLE,7.62 MILLIMETER",1,$138.00,6/16/06
,ATLANTIC,"RIFLE,7.62 MILLIMETER",1,$138.00,6/16/06
,ATLANTIC,"RIFLE,7.62 MILLIMETER",1,$138.00,6/16/06
,ATLANTIC,"RIFLE,7.62 MILLIMETER",1,$138.00,1/7/09
,ATLANTIC,"RIFLE,7.62 MILLIMETER",1,$138.00,1/7/09
,ATLANTIC,"RIFLE,7.62 MILLIMETER",1,$138.00,1/7/09
,ATLANTIC,"RIFLE,7.62 MILLIMETER",1,$138.00,1/7/09
