Agency Name,County,Item Name,Quantity,Unit Cost,Ship Date
NEPTUNE CITY POLICE DEPT,MONMOUTH,"ACCESSORY KIT,VEHICLE BODY",2,1097.28,1/30/14
UNDISCLOSED BY DLA,ESSEX,ACOG KIT,2,183.00,7/18/13
LAKEWOOD POLICE DEPT,OCEAN,"ADAPTER, DIGITAL CONNECTION",5,55.25,4/15/13
LAKEWOOD POLICE DEPT,OCEAN,"ADP CPU, DIGITAL",1,1999.00,4/15/13
LAKEWOOD POLICE DEPT,OCEAN,ADP INPUT/OUTPUT AND STORAGE DEVICES,1,279.00,4/15/13
LAKEWOOD POLICE DEPT,OCEAN,ADP SUPPLIES,3,140.00,4/15/13
PEMBERTON TOWNSHIP POLICE DEPT,BURLINGTON,ALL TERRAIN VEHICLE WHEELED,1,9652.00,5/7/14
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"ALL TERRAIN VEHICLE, 4 WHEEL",1,0.00,5/14/14
PEMBERTON TOWNSHIP POLICE DEPT,BURLINGTON,"ALL TERRAIN VEHICLE, 4 WHEEL",1,0.00,5/13/14
PEMBERTON TOWNSHIP POLICE DEPT,BURLINGTON,"ALL TERRAIN VEHICLE, 4 WHEEL",1,0.00,1/27/14
PEMBERTON TOWNSHIP POLICE DEPT,BURLINGTON,"ALL TERRAIN VEHICLE, 4 WHEEL",1,0.00,1/27/14
NEPTUNE CITY POLICE DEPT,MONMOUTH,"ANALYZER SET,ENGINE",2,7248.00,12/11/13
SPRING LAKE BOROUGH POLICE DEPT,MONMOUTH,"ANALYZER SET,ENGINE",2,7248.00,12/19/13
LITTLE SILVER POLICE DEPT,MONMOUTH,ASSAULT PACK,3,90.28,2/20/14
SPRING LAKE BOROUGH POLICE DEPT,MONMOUTH,ASSAULT PACK,12,90.28,11/25/13
TINTON FALLS POLICE DEPT,MONMOUTH,ASSAULT PACK,22,90.28,1/24/14
TINTON FALLS POLICE DEPT,MONMOUTH,ASSAULT PACK,9,90.28,1/24/14
BELMAR POLICE DEPT,MONMOUTH,"AUGER,EARTH,TRACTOR MOUNTING",1,1407.00,8/30/13
NEPTUNE CITY POLICE DEPT,MONMOUTH,"AUGER,EARTH,TRACTOR MOUNTING",1,1407.00,1/30/14
WALL TOWNSHIP POLICE DEPT,MONMOUTH,"AUGER,EARTH,TRACTOR MOUNTING",1,1407.00,11/19/13
