agency,m14,m16,totalrifles,address,latitude,longitude,county
ALLENHURST POLICE DEPT,2,,2,"125 Corlies Ave, Allenhurst, NJ 07711",40.23604377,-73.99900717,MONMOUTH
ATLANTIC CITY POLICE DEPT,8,,8,"2715 Atlantic Avenue, Atlantic City, NJ 08401",39.35550167,-74.44465693,ATLANTIC
BELLEVILLE POLICE DEPT,6,18,24,"152 Washington Ave, Belleville, NJ 07109",40.7989146,-74.1476511,ESSEX
BERKELEY TOWNSHIP POLICE DEPT,,18,18,"631 Pinewald Keswick Rd, Bayville, NJ 08721",40.406408,-74.225624,OCEAN
BERLIN TOWNSHIP POLICE DEPT,,4,4,"135 Route 73 South, West Berlin NJ 08091",40.406408,-74.225624,CAMDEN
BLOOMFIELD POLICE DEPT,6,6,12,"1 Municipal Plaza, Bloomfield NJ 07003",40.792126,-74.195185,ESSEX
BRICK TOWNSHIP POLICE DEPT,,6,6,"401 Chambersbridge Rd, Brick, NJ 08723",40.076565,-74.1545059,OCEAN
BROOKLAWN POLICE DEPT,,2,2,"305 Haakon Rd, Brooklawn, NJ 08030",39.87831024,-75.11897173,CAMDEN
CAMDEN COUNTY SHERIFF DEPT,,5,5,"800 Federal St, Camden, NJ 08103",39.943953,-75.116096,CAMDEN
CEDAR GROVE POLICE DEPT,3,3,6,"525 Pompton Ave, Cedar Grove, NJ 07009",39.10289,-74.2270071,ESSEX
CHATHAM TOWNSHIP POLICE DEPT,,6,6,"401 Southern  Boulevard, Chatham, New Jersey 07928",40.406408,-74.225624,MORRIS
CHERRY HILL POLICE DEPT,,4,4,"820 Mercer St, Cherry Hill, NJ 08002",39.92785141,-75.03037408,CAMDEN
CHESILHURST POLICE DEPT,1,2,3,"201 Grant Ave Waterford Works, NJ 08089",40.406408,-74.225624,CAMDEN
CHESTER TOWNSHIP POLICE DEPT,1,,1,"1 Parker Road, Chester NJ 07930",40.406408,-74.225624,MORRIS
CLAYTON POLICE DEPT,3,,3,"125 N Delsea Dr, Clayton, NJ 08312",39.6564692,-75.09123735,GLOUCESTER
CLINTON POLICE DEPT,,4,4,"43 Leigh St, Clinton, NJ 08809",40.636376,-74.90952,GLOUCESTER
COLLINGSWOOD POLICE DEPT,6,6,12,"735 Atlantic Ave Collingswood, NJ 08108",39.914894,-75.068808,CAMDEN
DEAL POLICE DEPT,1,1,2,"190 Norwood Ave, Deal, NJ 07723",40.24707767,-74.00081033,MONMOUTH
DELRAN TOWNSHIP POLICE DEPT,4,,4,"900 Chester Ave, Delran, NJ 08075",40.406408,-74.225624,BURLINGTON
DENVILLE POLICE DEPT,4,,4,"1 St Marys Pl, Denville, NJ 07834",40.89558805,-74.48330543,MORRIS
DUNELLEN POLICE DEPT,4,,4,"355 North Ave, Dunellen, NJ 08812",40.590926,-74.46431183,MIDDLESEX
EAST WINDSOR TOWNSHIP POLICE DEP,5,,5,"80 1 Mile Rd, East Windsor, NJ 08520",40.406408,-74.225624,MERCER
ELIZABETH POLICE DEPT,20,,20,"1 Police Plaza, Elizabeth, NJ 07201",40.406408,-74.225624,UNION
ENGLEWOOD CLIFFS POLICE DEPARTM,,5,5,"10 Stephens Terrace, Englewood Cliffs, NJ 07632",40.87882708,-73.95028258,BERGEN
EVESHAM POLICE DEPT,,6,6,"984 Tuckerton Road, Marlton, NJ 08053",40.406408,-74.225624,BURLINGTON
EWING POLICE DEPT,6,,6,"2 Jake Garzio Dr, Ewing Township, NJ 08628",40.277891,-74.80204,MERCER
FORT LEE POLICE DEPT,,5,5,"1327 16th St, Fort Lee, NJ 07024",40.84412329,-73.98110366,BERGEN
