Agency Name,County
ABERDEEN TOWNSHIP POLICE DEPT,MONMOUTH
AVALON POLICE DEPT,CAPE MAY
AVON BY THE SEA POLICE DEPT,MONMOUTH
BARNEGAT TOWNSHIP POLICE DEPT,OCEAN
BELLEVILLE POLICE DEPT,ESSEX
BELMAR POLICE DEPT,MONMOUTH
BRICK TOWNSHIP POLICE DEPT,OCEAN
CAPE MAY COUNTY PROSECUTOR,CAPE MAY
CINNAMINSON TOWNSHIP POLICE DEPT,BURLINGTON
EATONTOWN POLICE DEPT,MONMOUTH
ESSEX COUNTY SHERIFF DEPT,ESSEX
FEDERAL BUREAU OF INVESTIGATION,ESSEX
GALLOWAY TOWNSHIP POLICE DEPT,ATLANTIC
HAZLET TOWNSHIP POLICE DEPT,MONMOUTH
JACKSON TWP POLICE DEPT,OCEAN
KEANSBURG POLICE DEPT,MONMOUTH
LAKEHURST POLICE DEPT,OCEAN
LAKEWOOD POLICE DEPT,OCEAN
LITTLE FERRY POLICE DEPT,BERGEN                   
LITTLE SILVER POLICE DEPT,MONMOUTH
LONG BRANCH POLICE DEPT,MONMOUTH
MANCHESTER POLICE DEPT,OCEAN
MARLBORO TOWNSHIP POLICE DEPT,MONMOUTH
MIDDLE TOWNSHIP POLICE DEPT,CAPE MAY
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH
MONMOUTH COUNTY SHERIFF DEPT,MONMOUTH
NEPTUNE CITY POLICE DEPT,MONMOUTH
NJ STATE POLICE LAKEHURST,OCEAN
NJ STATE POLICE TRENTON,MERCER
OCEAN TOWNSHIP POLICE DEPT,OCEAN
OCEANPORT POLICE DEPT,MONMOUTH
PEMBERTON TOWNSHIP POLICE DEPT,BURLINGTON
POINT PLEASANT BEACH POLICE DEPT,OCEAN
RED BANK POLICE DEPT,MONMOUTH
SEA BRIGHT POLICE DEPT,MONMOUTH
SEASIDE PARK POLICE DEPT,OCEAN
SPRING LAKE BOROUGH POLICE DEPT,MONMOUTH
TINTON FALLS POLICE DEPT,MONMOUTH
US DHS ICE INVESTIGATIONS NEWARK,ESSEX
WALL TOWNSHIP POLICE DEPT,MONMOUTH
WILDWOOD POLICE DEPT,CAPE MAY
