agency,address,geo_longitude,geo_latitude,county,item,quantity,date_received,total_cost
ABERDEEN TOWNSHIP POLICE DEPT,"1 Aberdeen Sq, Matawan, NJ 07747",-74.225624,40.406408,MONMOUTH,"GOGGLES,BALLISTIC",40,3/20/2014,"$1,754.40"
ALLENHURST POLICE DEPT,"125 Corlies Ave, Allenhurst, NJ 07711",-73.99900717,40.23604377,MONMOUTH,M14 ASSAULT RIFLE,1,4/17/2014,$138.00
ATLANTIC CITY POLICE DEPT,"2715 Atlantic Avenue, Atlantic City, NJ 08401",-74.44465693,39.35550167,ATLANTIC,M14 ASSAULT RIFLE,1,4/17/2014,$138.00
AVALON POLICE DEPT,"3088 Dune Dr, Avalon, NJ 08202",-74.72308806,39.0957619,CAPE MAY,TRUCK TRACTOR,1,4/28/2014,"$57,454.00"
AVON BY THE SEA POLICE DEPT,"301 Main St, Avon By The Sea, NJ 07717",-74.0235069,40.185934,MONMOUTH,"TRUCK,CARGO",1,3/21/2014,"$93,042.00"
BARNEGAT TOWNSHIP POLICE DEPT,"900 W Bay Ave, Barnegat, NJ 08005",-74.2470752,39.7584917,OCEAN,"SIGHT,HOLOGRAPHIC",3,10/16/2014,"$1,783.83"
BELLEVILLE POLICE DEPT,"152 Washington Ave, Belleville, NJ 07109",-74.1476511,40.7989146,ESSEX,M14 ASSAULT RIFLE,1,4/15/2014,$138.00
BELMAR POLICE DEPT,"601 Main St, Belmar, NJ 07719",-74.0266819,40.176395,MONMOUTH,TRUCK TRACTOR,1,4/16/2014,"$86,203.00"
BERGEN COUNTY SHERIFF DEPT,"10 Main Street, Hackensack, New Jersey 07601",-74.04425069,40.87817895,BERGEN,"GOGGLES,BALLISTIC",25,11/3/2014,"$1,218.00"
BERKELEY TOWNSHIP POLICE DEPT,"631 Pinewald Keswick Rd, Bayville, NJ 08721",-74.225624,40.406408,OCEAN,M16 ASSAULT RIFLE,1,11/12/2013,$499.00
BERLIN TOWNSHIP POLICE DEPT,"135 Route 73 South, West Berlin NJ 08091",-74.225624,40.406408,CAMDEN,M16 ASSAULT RIFLE,1,1/29/2014,$499.00
BLOOMFIELD POLICE DEPT,"1 Municipal Plaza, Bloomfield NJ 07003",-74.195185,40.792126,ESSEX,M14 ASSAULT RIFLE,1,4/22/2014,$138.00
BOROUGH OF BRIELLE,"601 Union Lane, Brielle, NJ 08730",-74.05833,40.111175,MONMOUTH,"GOGGLES,INDUSTRIAL",15,10/27/2014,$929.40
BRICK TOWNSHIP POLICE DEPT,"401 Chambersbridge Rd, Brick, NJ 08723",-74.1545059,40.076565,OCEAN,M16 ASSAULT RIFLE,1,2/12/2014,$499.00
BROOKLAWN POLICE DEPT,"305 Haakon Rd, Brooklawn, NJ 08030",-75.11897173,39.87831024,CAMDEN,M16 ASSAULT RIFLE,1,4/28/2014,$499.00
CAMDEN COUNTY SHERIFF DEPT,"800 Federal St, Camden, NJ 08103",-75.116096,39.943953,CAMDEN,M16 ASSAULT RIFLE,1,4/23/2014,$499.00
CAPE MAY COUNTY PROSECUTOR,"4 Moore Rd #110, Cape May Ct Hse, NJ 08210",-74.800732,42.61057847,CAPE MAY,"GOGGLES,INDUSTRIAL",1,2/15/2014,$63.17
CEDAR GROVE POLICE DEPT,"525 Pompton Ave, Cedar Grove, NJ 07009",-74.2270071,39.10289,ESSEX,M14 ASSAULT RIFLE,1,4/23/2014,$138.00
CHATHAM TOWNSHIP POLICE DEPT,"401 Southern Boulevard, Chatham, New Jersey 07928",-74.225624,40.406408,MORRIS,M16 ASSAULT RIFLE,1,4/22/2014,$499.00
CHERRY HILL POLICE DEPT,"820 Mercer St, Cherry Hill, NJ 08002",-75.03037408,39.92785141,CAMDEN,M16 ASSAULT RIFLE,1,4/22/2014,$499.00
CHESILHURST POLICE DEPT,"201 Grant Ave Waterford Works, NJ 08089",-74.225624,40.406408,CAMDEN,M14 ASSAULT RIFLE,1,4/24/2014,$138.00
CHESTER TOWNSHIP POLICE DEPT,"1 Parker Road, Chester NJ 07930",-74.225624,40.406408,MORRIS,M14 ASSAULT RIFLE,1,4/17/2014,$138.00
CINNAMINSON TOWNSHIP POLICE DEPT,"900 Manor Rd Cinnaminson, NJ 08077",-74.99767741,39.99648846,BURLINGTON,"TRUCK,UTILITY",1,4/30/2014,"$50,458.00"
CLAYTON POLICE DEPT,"125 N Delsea Dr, Clayton, NJ 08312",-75.09123735,39.6564692,GLOUCESTER,M14 ASSAULT RIFLE,1,4/10/2014,$138.00
CLINTON POLICE DEPT,"43 Leigh St, Clinton, NJ 08809",-74.90952,40.636376,GLOUCESTER,M16 ASSAULT RIFLE,1,4/22/2014,$499.00
COLLINGSWOOD POLICE DEPT,"735 Atlantic Ave Collingswood, NJ 08108",-75.068808,39.914894,CAMDEN,M14 ASSAULT RIFLE,1,4/23/2014,$138.00
CRANFORD POLICE DEPARTMENT,"8 Springfield Ave, Cranford, NJ 07016",-74.302233,40.657654,UNION,TRUCK TRACTOR,2,8/29/2014,"$141,664.00"
DEAL POLICE DEPT,"190 Norwood Ave, Deal, NJ 07723",-74.00081033,40.24707767,MONMOUTH,BINOCULAR,10,10/22/2014,"$68,592.00"
DELRAN TOWNSHIP POLICE DEPT,"900 Chester Ave, Delran, NJ 08075",-74.225624,40.406408,BURLINGTON,M14 ASSAULT RIFLE,1,4/24/2014,$138.00
DENVILLE POLICE DEPT,"1 St Marys Pl, Denville, NJ 07834",-74.48330543,40.89558805,MORRIS,M14 ASSAULT RIFLE,1,11/26/2013,$138.00
DUNELLEN POLICE DEPT,"355 North Ave, Dunellen, NJ 08812",-74.46431183,40.590926,MIDDLESEX,M14 ASSAULT RIFLE,1,4/17/2014,$138.00
EAST HANOVER POLICE DEPT,"2 Deforest Ave, East Hanover, NJ 07936",-74.366475,40.821033,MORRIS,BINOCULAR,8,10/1/2014,"$1,535.76"
EAST WINDSOR TOWNSHIP POLICE DEP,"80 1 Mile Rd, East Windsor, NJ 08520",-74.225624,40.406408,MERCER,M14 ASSAULT RIFLE,1,4/16/2014,$138.00
EATONTOWN POLICE DEPT,"47 Broad St, Eatontown, NJ 07724",-74.0613349,40.306417,MONMOUTH,"GOGGLES,BALLISTIC",50,2/15/2014,"$2,193.00"
ELIZABETH POLICE DEPT,"1 Police Plaza, Elizabeth, NJ 07201",-74.225624,40.406408,UNION,M14 ASSAULT RIFLE,1,1/29/2014,$138.00
ENGLEWOOD CLIFFS POLICE DEPARTM,"10 Stephens Terrace, Englewood Cliffs, NJ 07632",-73.95028258,40.87882708,BERGEN,M16 ASSAULT RIFLE,1,4/11/2014,$499.00
ESSEX COUNTY SHERIFF DEPT,"115 Clifton Ave, Newark, NJ 07104",-74.17848344,40.75348122,ESSEX,"TRUCK,UTILITY",1,4/7/2014,"$41,061.00"
EVESHAM POLICE DEPT,"984 Tuckerton Road, Marlton, NJ 08053",-74.225624,40.406408,BURLINGTON,M16 ASSAULT RIFLE,1,4/23/2014,$499.00
