State,DODAAC,Station Name (LEA),Station Active Flag,Station Type,Book Type,Property Status,Property Number,Requisition Number,NSN,Item Name,Quantity,Serial Number,Serial Number Required Flag,Image Count,Requisition Date,Ship Date,Last Inventory Date,DEMIL Code,DEMIL IC,DTID,UI,Unit Cost,Total Cost
NJ,2YTP2F,ABERDEEN TOWNSHIP POLICE DEPT,Y,State,TRACKED,ASSIGNED,14079NJ00009,2YTP2F-4017-8063,2320-01-128-9551,"TRUCK,UTILITY",1,10240X,Y,5,11-Apr-14,27-Jan-14,6-Oct-14,C,1,null,Each,"$50,458.00 ","$50,458.00 "
NJ,2YTP2F,ABERDEEN TOWNSHIP POLICE DEPT,Y,State,TRACKED,ASSIGNED,14118NJ00002,2YTP2F-4057-6096,6720-DS-CAM-ERA2,"CAMERA, STILL PICTURE",1,1320801029,N,0,29-Apr-14,7-Apr-14,6-Oct-14,A,,W81XP7-4024-0998,Each,"$1,277.00 ","$1,277.00 "
NJ,2YTP2F,ABERDEEN TOWNSHIP POLICE DEPT,Y,State,TRACKED,ASSIGNED,14070NJ00002,2YTP2F-4058-7385,8140-00-960-1699,"CHEST,AMMUNITION",60,NULL,N,0,20-Mar-14,10-Mar-14,6-Oct-14,A,1,null,Each,$11.10 ,$666.00 
NJ,2YTP2F,ABERDEEN TOWNSHIP POLICE DEPT,Y,State,TRACKED,ASSIGNED,14076NJ00001,2YTP2F-4058-7390,4240-01-554-5699,"GOGGLES,BALLISTIC",40,NULL,N,0,20-Mar-14,12-Mar-14,6-Oct-14,A,1,null,Kit,$43.86 ,"$1,754.40 "
NJ,2YTP2F,ABERDEEN TOWNSHIP POLICE DEPT,Y,State,TRACKED,ASSIGNED,14079NJ00008,2YTP2F-4062-9109,4235-01-478-0066,"PAD,ABSORBENT,HAZARDOUS  MATERIAL",10,NULL,N,0,30-Mar-14,18-Mar-14,6-Oct-14,A,1,null,Box,$96.70 ,$967.00 
NJ,2YTP2F,ABERDEEN TOWNSHIP POLICE DEPT,Y,State,TRACKED,ASSIGNED,13331NJ013,H9DEB1-2126-5780,2320-01-346-9317,"TRUCK,UTILITY",1,148465,Y,3,18-Dec-13,9-May-12,6-Oct-14,C,1,W911M4-2040-0003,Each,"$56,762.00 ","$56,762.00 "
NJ,2YTAGQ,ALLENHURST POLICE DEPT,Y,State,TRACKED,ASSIGNED,14213NJ00012,2YTAGQ-4194-5077,2320-01-230-0308,"TRUCK,CARGO",1,2501063,N,5,1-Aug-14,22-Jul-14,1-Aug-14,A,1,null,Each,"$72,040.00 ","$72,040.00 "
NJ,2YTAGQ,ALLENHURST POLICE DEPT,Y,State,TRACKED,ASSIGNED,14213NJ00013,2YTAGQ-4194-5077,2320-01-230-0308,"TRUCK,CARGO",1,2501373,N,5,1-Aug-14,22-Jul-14,1-Aug-14,A,1,null,Each,"$72,040.00 ","$72,040.00 "
NJ,2YTAGQ,ALLENHURST POLICE DEPT,Y,State,TRACKED,ASSIGNED,14210NJ00025,2YTAGQ-4196-5944,2330-00-141-8050,"TRAILER,CARGO",1,06-468-68,N,3,29-Jul-14,23-Jul-14,9-Oct-14,A,1,null,Each,"$8,524.00 ","$8,524.00 "
NJ,2YTAGQ,ALLENHURST POLICE DEPT,Y,State,TRACKED,ASSIGNED,14210NJ00027,2YTAGQ-4196-5947,4320-01-212-2166,"PUMPING ASSEMBLY,FLAMMABLE LIQUID,BULK TRANSFER",5,NULL,N,0,29-Jul-14,22-Jul-14,9-Oct-14,A,1,null,Each,"$6,411.00 ","$32,055.00 "
NJ,2YTAGQ,ALLENHURST POLICE DEPT,Y,State,TRACKED,ASSIGNED,14210NJ00028,2YTAGQ-4196-5950,2320-01-371-9577,"TRUCK,UTILITY",1,164672,Y,6,30-Jul-14,22-Jul-14,9-Oct-14,Q,3,null,Each,"$47,023.00 ","$47,023.00 "
NJ,2YTAGQ,ALLENHURST POLICE DEPT,Y,State,TRACKED,ASSIGNED,14210NJ00024,2YTAGQ-4197-5976,2330-00-141-8050,"TRAILER,CARGO",1,NW006M1803,N,5,29-Jul-14,23-Jul-14,9-Oct-14,A,1,null,Each,"$8,524.00 ","$8,524.00 "
NJ,2YTAGQ,ALLENHURST POLICE DEPT,Y,State,TRACKED,ASSIGNED,14216NJ00005,2YTAGQ-4197-5977,2330-00-141-8050,"TRAILER,CARGO",1,840057,N,5,4-Aug-14,22-Jul-14,4-Aug-14,A,1,null,Each,"$8,524.00 ","$8,524.00 "
NJ,2YTAGQ,ALLENHURST POLICE DEPT,Y,State,TRACKED,ASSIGNED,14210NJ00022,2YTAGQ-4198-6630,6115-00-394-9577,"GENERATOR SET,DIESEL ENGINE,TRAILER MOUNTED",1,PD03EO2834,N,5,29-Jul-14,22-Jul-14,9-Oct-14,A,1,null,Each,"$20,039.00 ","$20,039.00 "
NJ,2YTAGQ,ALLENHURST POLICE DEPT,Y,State,TRACKED,ASSIGNED,14253NJ00001,2YTAGQ-4203-8132,8465-01-398-0685,SLEEPING BAG,20,NULL,N,0,11-Sep-14,8-Sep-14,11-Sep-14,A,1,null,Each,$47.30 ,$946.00 
NJ,2YTAGQ,ALLENHURST POLICE DEPT,Y,State,TRACKED,ASSIGNED,14216NJ00003,2YTAGQ-4206-9556,2320-01-230-0305,"TRUCK,DUMP",1,1005AB012,N,5,4-Aug-14,31-Jul-14,4-Aug-14,A,1,null,Each,"$72,425.00 ","$72,425.00 "
NJ,2YTAGQ,ALLENHURST POLICE DEPT,Y,State,TRACKED,ASSIGNED,14216NJ00004,2YTAGQ-4206-9556,2320-01-230-0305,"TRUCK,DUMP",1,2900233,N,5,4-Aug-14,31-Jul-14,4-Aug-14,A,1,null,Each,"$72,425.00 ","$72,425.00 "
NJ,2YTAGQ,ALLENHURST POLICE DEPT,Y,State,TRACKED,ASSIGNED,14232NJ00044,2YTAGQ-4211-1319,4320-01-337-7538,"PUMPING ASSEMBLY,FLAMMABLE LIQUID,BULK TRANSFER",1,RZ00616,N,5,21-Aug-14,15-Aug-14,21-Aug-14,A,1,null,Each,"$13,094.00 ","$13,094.00 "
NJ,2YTAGQ,ALLENHURST POLICE DEPT,Y,State,TRACKED,ASSIGNED,14232NJ00043,2YTAGQ-4223-6024,3930-01-158-0849,"TRUCK,LIFT,FORK",1,6000M1M1328,N,5,21-Aug-14,15-Aug-14,21-Aug-14,A,1,null,Each,"$72,370.00 ","$72,370.00 "
NJ,2YTAGQ,ALLENHURST POLICE DEPT,Y,State,TRACKED,ASSIGNED,14236NJ00017,2YTAGQ-4223-6026,7730-DS-TEL-EVI3,"TELEVISION, PERSONAL/HOME USE",3,SO71J74700326,N,0,25-Aug-14,15-Aug-14,25-Aug-14,A,,null,Each,$899.00 ,"$2,697.00 "
NJ,2YTAGQ,ALLENHURST POLICE DEPT,Y,State,TRACKED,ASSIGNED,14239NJ00002,2YTAGQ-4223-6030,6115-01-274-7388,"GENERATOR SET,DIESEL ENGINE",1,FZ57581,N,5,27-Aug-14,15-Aug-14,27-Aug-14,Q,6,null,Each,"$16,160.00 ","$16,160.00 "
