agency,county,item,quantity,date_received,total_cost
ABERDEEN TOWNSHIP POLICE DEPT,MONMOUTH,"TRUCK,UTILITY",1,4/11/14,"$50,458.00 "
ABERDEEN TOWNSHIP POLICE DEPT,MONMOUTH,"CAMERA, STILL PICTURE",1,4/29/14,"$1,277.00 "
ABERDEEN TOWNSHIP POLICE DEPT,MONMOUTH,"CHEST,AMMUNITION",60,3/20/14,$666.00 
ABERDEEN TOWNSHIP POLICE DEPT,MONMOUTH,"GOGGLES,BALLISTIC",40,3/20/14,"$1,754.40 "
ABERDEEN TOWNSHIP POLICE DEPT,MONMOUTH,"PAD,ABSORBENT,HAZARDOUS  MATERIAL",10,3/30/14,$967.00 
ABERDEEN TOWNSHIP POLICE DEPT,MONMOUTH,"TRUCK,UTILITY",1,12/18/13,"$56,762.00 "
ALLENHURST POLICE DEPT,MONMOUTH,"TRUCK,CARGO",1,8/1/14,"$72,040.00 "
ALLENHURST POLICE DEPT,MONMOUTH,"TRUCK,CARGO",1,8/1/14,"$72,040.00 "
ALLENHURST POLICE DEPT,MONMOUTH,"TRAILER,CARGO",1,7/29/14,"$8,524.00 "
ALLENHURST POLICE DEPT,MONMOUTH,"PUMPING ASSEMBLY,FLAMMABLE LIQUID,BULK TRANSFER",5,7/29/14,"$32,055.00 "
ALLENHURST POLICE DEPT,MONMOUTH,"TRUCK,UTILITY",1,7/30/14,"$47,023.00 "
ALLENHURST POLICE DEPT,MONMOUTH,"TRAILER,CARGO",1,7/29/14,"$8,524.00 "
ALLENHURST POLICE DEPT,MONMOUTH,"TRAILER,CARGO",1,8/4/14,"$8,524.00 "
ALLENHURST POLICE DEPT,MONMOUTH,"GENERATOR SET,DIESEL ENGINE,TRAILER MOUNTED",1,7/29/14,"$20,039.00 "
ALLENHURST POLICE DEPT,MONMOUTH,SLEEPING BAG,20,9/11/14,$946.00 
ALLENHURST POLICE DEPT,MONMOUTH,"TRUCK,DUMP",1,8/4/14,"$72,425.00 "
ALLENHURST POLICE DEPT,MONMOUTH,"TRUCK,DUMP",1,8/4/14,"$72,425.00 "
ALLENHURST POLICE DEPT,MONMOUTH,"PUMPING ASSEMBLY,FLAMMABLE LIQUID,BULK TRANSFER",1,8/21/14,"$13,094.00 "
ALLENHURST POLICE DEPT,MONMOUTH,"TRUCK,LIFT,FORK",1,8/21/14,"$72,370.00 "
ALLENHURST POLICE DEPT,MONMOUTH,"TELEVISION, PERSONAL/HOME USE",3,8/25/14,"$2,697.00 "
ALLENHURST POLICE DEPT,MONMOUTH,"GENERATOR SET,DIESEL ENGINE",1,8/27/14,"$16,160.00 "
ALLENHURST POLICE DEPT,MONMOUTH,"TRUCK,UTILITY",1,8/28/14,"$41,061.00 "
ALLENHURST POLICE DEPT,MONMOUTH,"TRUCK,UTILITY",1,8/28/14,"$41,061.00 "
ALLENHURST POLICE DEPT,MONMOUTH,"TRUCK,UTILITY",1,9/1/14,"$41,061.00 "
ALLENHURST POLICE DEPT,MONMOUTH,TRUCK TRACTOR,1,8/27/14,"$166,223.00 "
ALLENHURST POLICE DEPT,MONMOUTH,"COMPRESSOR UNIT,ROTARY",1,8/27/14,"$5,553.18 "
ALLENHURST POLICE DEPT,MONMOUTH,"TRACTOR,WHEELED,INDUSTRIAL",1,9/17/14,"$110,000.00 "
ALLENHURST POLICE DEPT,MONMOUTH,"GENERATOR SET,DIESEL ENGINE",1,10/1/14,"$13,635.00 "
ALLENHURST POLICE DEPT,MONMOUTH,"TRUCK,UTILITY",1,9/18/14,"$41,061.00 "
ALLENHURST POLICE DEPT,MONMOUTH,"SEMITRAILER,LOW  BED",1,9/23/14,"$20,007.00 "
ALLENHURST POLICE DEPT,MONMOUTH,HYDRATION SYSTEM,10,9/25/14,$387.30 
ALLENHURST POLICE DEPT,MONMOUTH,"LINER,WET WEATHER PONCHO",10,9/25/14,$374.20 
ALLENHURST POLICE DEPT,MONMOUTH,VAN,1,9/23/14,"$1,000.00 "
ALLENHURST POLICE DEPT,MONMOUTH,"CONTAINER,AMMUNITION",1,9/22/14,$37.00 
ALLENHURST POLICE DEPT,MONMOUTH,"CONTAINER,AMMUNITION",4,9/22/14,$148.00 
ALLENHURST POLICE DEPT,MONMOUTH,"FLOODLIGHT SET,TRAILER MOUNTED",4,10/24/14,"$17,956.00 "
ALLENHURST POLICE DEPT,MONMOUTH,FIELD PACK,13,10/27/14,"$2,975.57 "
ALLENHURST POLICE DEPT,MONMOUTH,"GLOVE INSERTS,COLD WEATHER",15,10/27/14,$45.00 
ALLENHURST POLICE DEPT,MONMOUTH,"TRUCK,VAN",1,10/24/14,"$111,395.00 "
